state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
IN,Gender,1817,Male,49%,33%,62%,5%
IN,Gender,1817,Female,51%,42%,53%,5%
IN,Illegal immigrants working in the U.S. should be:,1817,Deported to home country,30%,13%,84%,2%,1%
IN,How do things work in the U.S. today?,1817,Whites are favored,29%,73%,22%,5%,N/A
IN,How do things work in the U.S. today?,1817,Minorities are favored,35%,15%,82%,2%,1%
IN,How do things work in the U.S. today?,1817,No group is favored,33%,32%,62%,6%,N/A
IN,Feelings about the federal government,1817,Enthusiastic,4%,N/A,N/A,N/A,N/A
IN,Feelings about the federal government,1817,Satisfied,24%,70%,29%,1%,N/A
IN,Feelings about the federal government,1817,Dissatisfied,49%,32%,63%,5%,N/A
IN,Feelings about the federal government,1817,Angry,20%,10%,84%,6%,N/A
IN,Feelings about the federal government,1817,Enthusiastic/Satisfied,28%,71%,28%,1%,N/A
IN,Feelings about the federal government,1817,Dissatisfied/Angry,70%,26%,69%,5%,N/A
IN,Opinion of Barack Obama as president,1817,Strongly approve,22%,88%,6%,5%,1%
IN,Opinion of Barack Obama as president,1817,Somewhat approve,20%,61%,20%,19%,N/A
IN,Opinion of Barack Obama as president,1817,Somewhat disapprove,14%,13%,81%,6%,N/A
IN,Opinion of Barack Obama as president,1817,Strongly disapprove,44%,3%,95%,2%,N/A
IN,Opinion of Barack Obama as president,1817,Approve,42%,75%,13%,12%,N/A
IN,Opinion of Barack Obama as president,1817,Disapprove,57%,5%,92%,3%,N/A
IN,Opinion of Hillary Clinton,1817,Favorable,28%,96%,2%,2%,N/A
IN,Opinion of Hillary Clinton,1817,Unfavorable,71%,11%,81%,8%,N/A
IN,Opinion of Donald Trump,1817,Favorable,46%,6%,94%,N/A
IN,Opinion of Donald Trump,1817,Unfavorable,52%,61%,27%,12%
IN,Opinion of Clinton and Trump,1817,Both favorable,1%,N/A,N/A,N/A,N/A
IN,Opinion of Clinton and Trump,1817,Only Clinton favorable,26%,98%,1%,2%,N/A
IN,Opinion of Clinton and Trump,1817,Only Trump favorable,45%,4%,96%,N/A,N/A
IN,Opinion of Clinton and Trump,1817,Both unfavorable,26%,22%,54%,23%,1%
IN,Opinion of Mike Pence,1817,Favorable,57%,7%,89%,4%,N/A
IN,Opinion of Mike Pence,1817,Unfavorable,41%,70%,20%,10%,N/A
IN,Is Hillary Clinton honest and trustworthy?,1817,Yes,27%,92%,8%,1%
IN,Is Hillary Clinton honest and trustworthy?,1817,No,72%,18%,77%,6%
IN,Is Donald Trump honest and trustworthy?,1817,Yes,42%,7%,93%,1%
IN,Is Donald Trump honest and trustworthy?,1817,No,56%,63%,30%,7%
IN,Which candidate is honest?,1817,Both are,4%,N/A,N/A,N/A
IN,Which candidate is honest?,1817,Only Clinton is,23%,99%,1%,N/A
IN,Which candidate is honest?,1817,Only Trump is,38%,2%,98%,0%
IN,Which candidate is honest?,1817,Neither is,33%,37%,51%,12%
IN,Is Clinton qualified to serve as president?,1817,Yes,37%,85%,7%,8%,N/A
IN,Is Clinton qualified to serve as president?,1817,No,63%,4%,90%,5%,1%
IN,Is Trump qualified to serve as president?,1817,Yes,50%,4%,96%,0%
IN,Is Trump qualified to serve as president?,1817,No,49%,65%,22%,13%
IN,Who is qualified to serve as president?,1817,Both are,3%,N/A,N/A,N/A
IN,Who is qualified to serve as president?,1817,Only Clinton is,33%,90%,1%,9%
IN,Who is qualified to serve as president?,1817,Only Trump is,46%,2%,98%,N/A
IN,Who is qualified to serve as president?,1817,Neither is,16%,12%,67%,21%
IN,Does Clinton have the temperament to be president?,1817,Yes,43%,81%,14%,5%,N/A
IN,Does Clinton have the temperament to be president?,1817,No,55%,5%,91%,4%,N/A
IN,Does Trump have the temperament to be president?,1817,Yes,42%,5%,95%,0%
IN,Does Trump have the temperament to be president?,1817,No,56%,64%,29%,7%
IN,Which candidate has the right temperament?,1817,Both do,6%,N/A,N/A,N/A
IN,Which candidate has the right temperament?,1817,Only Clinton does,37%,91%,4%,5%
IN,Which candidate has the right temperament?,1817,Only Trump does,37%,3%,97%,0%
IN,Which candidate has the right temperament?,1817,Neither does,18%,9%,80%,11%
IN,Condition of national economy,1817,Excellent,5%,N/A,N/A,N/A,N/A
IN,Condition of national economy,1817,Good,30%,75%,21%,4%,N/A
IN,Condition of national economy,1817,Not good,49%,23%,72%,6%,N/A
IN,Condition of national economy,1817,Poor,15%,7%,91%,2%,N/A
IN,Condition of national economy,1817,Good,35%,74%,23%,4%,N/A
IN,Condition of national economy,1817,Poor,64%,19%,76%,5%,N/A
IN,Financial situation compared to four years ago:,1817,Better today,37%,60%,36%,4%,N/A
IN,Financial situation compared to four years ago:,1817,Worse today,26%,12%,86%,2%,N/A
IN,Financial situation compared to four years ago:,1817,About the same,36%,33%,61%,5%,1%
IN,Life for the next generation of Americans will be:,1817,Better than today,39%,35%,63%,3%,N/A
IN,Life for the next generation of Americans will be:,1817,Worse than today,28%,20%,73%,7%,N/A
IN,Life for the next generation of Americans will be:,1817,About the same,30%,48%,42%,10%,N/A
IN,Vote for president in a two-way race,1817,Clinton,40%,95%,3%,2%
IN,Vote for president in a two-way race,1817,Trump,55%,2%,95%,3%
IN,Vote for president in a two-way race,1817,Would not vote,4%,N/A,N/A,N/A
IN,Area type,1817,Urban area,33%,46%,50%,5%
IN,Area type,1817,Suburban area,46%,36%,59%,5%
IN,Area type,1817,Rural area,21%,30%,65%,5%
IN,Region,1817,Northwest,17%,52%,43%,5%,N/A
IN,Region,1817,North / Central,32%,30%,66%,3%,1%
IN,Region,1817,Marion County,13%,57%,37%,6%,N/A
IN,Region,1817,Indianapolis Area,17%,31%,63%,6%,N/A
IN,Region,1817,South,21%,32%,63%,5%,N/A
