state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
MN,Opinion of Donald Trump,1636,Favorable,35%,3%,96%,0%,0%,1%
MN,Opinion of Donald Trump,1636,Unfavorable,64%,73%,16%,6%,2%,3%
MN,Opinion of Clinton and Trump,1636,Both favorable,2%,N/A,N/A,N/A,N/A,N/A
MN,Opinion of Clinton and Trump,1636,Only Clinton favorable,42%,98%,0%,1%,0%,1%
MN,Opinion of Clinton and Trump,1636,Only Trump favorable,33%,1%,99%,0%,0%,N/A
MN,Opinion of Clinton and Trump,1636,Both unfavorable,22%,25%,45%,15%,5%,10%
MN,Is Hillary Clinton honest and trustworthy?,1636,Yes,34%,94%,4%,1%,N/A,1%
MN,Is Hillary Clinton honest and trustworthy?,1636,No,63%,22%,66%,6%,2%,4%
MN,Is Donald Trump honest and trustworthy?,1636,Yes,30%,4%,94%,1%,0%,1%
MN,Is Donald Trump honest and trustworthy?,1636,No,67%,67%,22%,6%,2%,3%
MN,Which candidate is honest?,1636,Both are,2%,N/A,N/A,N/A,N/A,N/A
MN,Which candidate is honest?,1636,Only Clinton is,32%,97%,1%,1%,N/A,1%
MN,Which candidate is honest?,1636,Only Trump is,28%,1%,98%,0%,0%,1%
MN,Which candidate is honest?,1636,Neither is,35%,39%,41%,10%,4%,6%
MN,Does Clinton have the temperament to be president?,1636,Yes,56%,80%,15%,3%,1%,1%
MN,Does Clinton have the temperament to be president?,1636,No,42%,5%,83%,6%,2%,4%
MN,Does Trump have the temperament to be president?,1636,Yes,30%,4%,95%,1%,0%,N/A
MN,Does Trump have the temperament to be president?,1636,No,67%,68%,21%,6%,2%,3%
MN,Which candidate has the right temperament?,1636,Both do,5%,N/A,N/A,N/A,N/A,N/A
MN,Which candidate has the right temperament?,1636,Only Clinton does,51%,87%,7%,3%,1%,2%
MN,Which candidate has the right temperament?,1636,Only Trump does,24%,1%,97%,1%,0%,1%
MN,Which candidate has the right temperament?,1636,Neither does,17%,11%,63%,13%,6%,7%
MN,Life for the next generation of Americans will be:,1636,Better than today,29%,67%,29%,2%,1%,1%
MN,Life for the next generation of Americans will be:,1636,Worse than today,36%,26%,62%,5%,2%,5%
MN,Life for the next generation of Americans will be:,1636,About the same,32%,58%,34%,4%,1%,3%
MN,Area type,1636,Urban area,43%,55%,37%,8%
MN,Area type,1636,Suburban area,26%,47%,47%,6%
MN,Area type,1636,Rural area,30%,35%,58%,7%
MN,Region,1636,Twin Cities,32%,64%,28%,4%,2%,2%
MN,Region,1636,Eastern Twin Cities Sub.,19%,45%,47%,5%,1%,2%
MN,Region,1636,East Central,14%,33%,60%,4%,1%,2%
MN,Region,1636,South,18%,37%,56%,4%,1%,2%
MN,Region,1636,North,18%,37%,56%,4%,1%,2%
