state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
MS,Opinion of Barack Obama as president,1941,Somewhat approve,16%,64%,25%,8%,2%,1%
MS,Opinion of Barack Obama as president,1941,Somewhat disapprove,15%,19%,72%,7%,1%,1%
MS,Opinion of Barack Obama as president,1941,Strongly disapprove,43%,2%,95%,3%,0%,N/A
MS,Opinion of Barack Obama as president,1941,Approve,41%,82%,12%,6%
MS,Opinion of Barack Obama as president,1941,Disapprove,58%,7%,89%,4%
MS,Opinion of Hillary Clinton,1941,Favorable,34%,95%,3%,1%,1%,N/A
MS,Opinion of Hillary Clinton,1941,Unfavorable,65%,7%,86%,5%,1%,1%
MS,Opinion of Donald Trump,1941,Favorable,46%,2%,98%,0%,N/A,N/A
MS,Opinion of Donald Trump,1941,Unfavorable,53%,68%,22%,6%,2%,2%
MS,Opinion of Clinton and Trump,1941,Both favorable,1%,N/A,N/A,N/A,N/A,N/A
MS,Opinion of Clinton and Trump,1941,Only Clinton favorable,33%,97%,1%,1%,1%,N/A
MS,Opinion of Clinton and Trump,1941,Only Trump favorable,44%,1%,99%,0%,N/A,N/A
MS,Opinion of Clinton and Trump,1941,Both unfavorable,20%,22%,57%,16%,4%,1%
MS,Is Hillary Clinton honest and trustworthy?,1941,Yes,28%,96%,3%,1%,0%,N/A
MS,Is Hillary Clinton honest and trustworthy?,1941,No,71%,14%,80%,5%,1%,N/A
MS,Is Donald Trump honest and trustworthy?,1941,Yes,42%,4%,96%,1%,N/A,N/A
MS,Is Donald Trump honest and trustworthy?,1941,No,56%,63%,30%,5%,1%,1%
MS,Which candidate is honest?,1941,Both are,2%,N/A,N/A,N/A,N/A,N/A
MS,Which candidate is honest?,1941,Only Clinton is,26%,98%,2%,N/A,0%,N/A
MS,Which candidate is honest?,1941,Only Trump is,40%,1%,99%,0%,N/A,N/A
MS,Which candidate is honest?,1941,Neither is,30%,32%,54%,10%,2%,2%
MS,Does Clinton have the temperament to be president?,1941,Yes,43%,83%,12%,5%
MS,Does Clinton have the temperament to be president?,1941,No,56%,3%,92%,5%
MS,Does Trump have the temperament to be president?,1941,Yes,42%,3%,96%,1%,0%,N/A
MS,Does Trump have the temperament to be president?,1941,No,56%,64%,28%,5%,1%,2%
MS,Which candidate has the right temperament?,1941,Both do,4%,N/A,N/A,N/A,N/A,N/A
MS,Which candidate has the right temperament?,1941,Only Clinton does,38%,91%,5%,3%,0%,1%
MS,Which candidate has the right temperament?,1941,Only Trump does,38%,2%,98%,0%,0%,N/A
MS,Which candidate has the right temperament?,1941,Neither does,18%,6%,78%,10%,3%,3%
MS,Is Clinton qualified to serve as president?,1941,Yes,42%,85%,11%,4%
MS,Is Clinton qualified to serve as president?,1941,No,56%,3%,91%,6%
MS,Is Trump qualified to serve as president?,1941,Yes,46%,1%,98%,1%,0%,N/A
MS,Is Trump qualified to serve as president?,1941,No,53%,71%,20%,6%,1%,2%
MS,Who is qualified to serve as president?,1941,Both are,4%,N/A,N/A,N/A,N/A,N/A
MS,Who is qualified to serve as president?,1941,Only Clinton is,38%,94%,3%,2%,1%,N/A
MS,Who is qualified to serve as president?,1941,Only Trump is,42%,1%,99%,0%,0%,N/A
MS,Who is qualified to serve as president?,1941,Neither is,14%,11%,67%,16%,2%,4%
MS,Condition of national economy,1941,Excellent,4%,N/A,N/A,N/A
MS,Condition of national economy,1941,Good,32%,73%,22%,5%
MS,Condition of national economy,1941,Not good,44%,22%,72%,6%
MS,Condition of national economy,1941,Poor,19%,4%,92%,4%
MS,Condition of national economy,1941,Good,36%,75%,21%,4%
MS,Condition of national economy,1941,Poor,63%,16%,78%,6%
MS,Life for the next generation of Americans will be:,1941,Better than today,38%,52%,45%,2%,1%,N/A
MS,Life for the next generation of Americans will be:,1941,Worse than today,32%,15%,77%,6%,1%,1%
MS,Life for the next generation of Americans will be:,1941,About the same,26%,48%,47%,3%,1%,1%
MS,Vote for president in a two-way race,1941,Clinton,39%,96%,2%,2%
MS,Vote for president in a two-way race,1941,Trump,57%,1%,98%,1%
MS,Vote for president in a two-way race,1941,Would not vote,3%,N/A,N/A,N/A
MS,Area type,1941,Urban area,34%,54%,41%,5%
MS,Area type,1941,Suburban area,44%,32%,63%,5%
MS,Area type,1941,Rural area,22%,26%,69%,5%
MS,Region,1941,St. Louis Area,23%,62%,34%,4%
MS,Region,1941,E. Central,16%,30%,65%,5%
MS,Region,1941,Kansas City Area,19%,48%,46%,6%
MS,Region,1941,North,15%,30%,65%,5%
MS,Region,1941,South,28%,21%,74%,5%
