state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
IA,Ideology,2972,Liberal,23%,81%,12%,7%
IA,Ideology,2972,Moderate,37%,51%,42%,7%
IA,Ideology,2972,Conservative,40%,11%,84%,5%
IA,Religion,2972,Protestant,58%,31%,63%,4%,1%,1%
IA,Religion,2972,Catholic,20%,42%,56%,1%,N/A,1%
IA,Religion,2972,Jewish,0%,N/A,N/A,N/A,N/A,N/A
IA,Religion,2972,Another religion,6%,N/A,N/A,N/A,N/A,N/A
IA,Religion,2972,No religion,17%,65%,22%,5%,1%,7%
IA,How often do you attend religious services?,2972,Weekly or more,31%,33%,61%,2%,0%,4%
IA,How often do you attend religious services?,2972,Monthly,19%,26%,71%,1%,N/A,2%
IA,How often do you attend religious services?,2972,Few times a year,28%,46%,48%,5%,2%,N/A
IA,How often do you attend religious services?,2972,Never,22%,65%,25%,3%,3%,4%
IA,How often do you attend religious services?,2972,Monthly or more,50%,30%,65%,5%
IA,How often do you attend religious services?,2972,Less often than that,50%,54%,38%,8%
IA,White born-again or evangelical Christian?,2972,Yes,34%,25%,70%,5%
IA,White born-again or evangelical Christian?,2972,No,66%,51%,42%,7%
IA,Marital status,2972,Married,67%,38%,58%,4%
IA,Marital status,2972,Unmarried,33%,54%,43%,3%
IA,Marital status by gender,2972,Married men,32%,30%,67%,3%
IA,Marital status by gender,2972,Married women,36%,45%,50%,5%
IA,Marital status by gender,2972,Unmarried men,14%,40%,54%,6%
IA,Marital status by gender,2972,Unmarried women,19%,64%,34%,2%
IA,Served in the U.S. military,2972,Veterans,13%,31%,61%,7%,1%,N/A
IA,Served in the U.S. military,2972,Non-veterans,87%,46%,46%,2%,4%,2%
IA,When did you decide presidential vote?,2972,Last few days,10%,34%,56%,4%,0%,6%
IA,When did you decide presidential vote?,2972,Last week,4%,N/A,N/A,N/A,N/A,N/A
IA,When did you decide presidential vote?,2972,In October,12%,35%,51%,11%,1%,2%
IA,When did you decide presidential vote?,2972,In September,11%,37%,55%,1%,6%,1%
IA,When did you decide presidential vote?,2972,Before September,62%,49%,46%,2%,2%,1%
IA,When did you decide presidential vote?,2972,In the last week,14%,34%,54%,12%
IA,When did you decide presidential vote?,2972,Before that,84%,45%,48%,7%
IA,When did you decide presidential vote?,2972,In the last month,26%,35%,53%,7%,2%,3%
IA,When did you decide presidential vote?,2972,Before that,73%,47%,47%,2%,3%,1%
IA,Opinion of presidential candidate you voted for,2972,Strongly favor ,40%,45%,52%,2%,0%,1%
IA,Opinion of presidential candidate you voted for,2972,Have reservations,29%,39%,58%,2%,1%,N/A
IA,Opinion of presidential candidate you voted for,2972,Dislike opponents,29%,33%,52%,7%,3%,5%
IA,Most important issue facing the country,2972,Foreign policy,12%,62%,30%,5%,2%,1%
IA,Most important issue facing the country,2972,Immigration,12%,18%,80%,1%,1%,N/A
IA,Most important issue facing the country,2972,Economy,54%,46%,46%,3%,3%,2%
IA,Most important issue facing the country,2972,Terrorism,18%,36%,57%,3%,1%,3%
IA,Which candidate quality mattered most?,2972,Cares about me,12%,57%,33%,6%,3%,1%
IA,Which candidate quality mattered most?,2972,Can bring change,43%,10%,87%,1%,1%,1%
IA,Which candidate quality mattered most?,2972,Right experience,19%,87%,8%,3%,1%,1%
IA,Which candidate quality mattered most?,2972,Good judgment,22%,58%,28%,6%,4%,4%
IA,Illegal immigrants working in the U.S. should be:,2972,Offered legal status,65%,60%,35%,5%
IA,Illegal immigrants working in the U.S. should be:,2972,Deported to home country,29%,10%,88%,2%
IA,Do you think immigrants to the U.S. today:,2972,Help the country,56%,60%,33%,7%
IA,Do you think immigrants to the U.S. today:,2972,Hurt the country,37%,16%,82%,2%
IA,Effect of international trade,2972,Creates U.S. jobs,41%,48%,47%,5%
IA,Effect of international trade,2972,Takes away U.S. jobs,37%,29%,66%,5%
IA,Effect of international trade,2972,Does not affect jobs,11%,N/A,N/A,N/A
IA,How do things work in the U.S. today?,2972,Whites are favored,30%,74%,22%,4%
IA,How do things work in the U.S. today?,2972,Minorities are favored,23%,15%,84%,1%
IA,How do things work in the U.S. today?,2972,No group is favored,40%,36%,58%,6%
IA,Feelings about the federal government,2972,Enthusiastic,2%,N/A,N/A,N/A,N/A,N/A
IA,Feelings about the federal government,2972,Satisfied,26%,74%,22%,3%,1%,N/A
IA,Feelings about the federal government,2972,Dissatisfied,46%,33%,59%,5%,1%,2%
IA,Feelings about the federal government,2972,Angry,24%,11%,81%,1%,4%,3%
IA,Feelings about the federal government,2972,Enthusiastic/Satisfied,28%,75%,21%,4%
IA,Feelings about the federal government,2972,Dissatisfied/Angry,71%,26%,67%,7%
IA,Opinion of Barack Obama as president,2972,Strongly approve,26%,95%,2%,2%,0%,1%
IA,Opinion of Barack Obama as president,2972,Somewhat approve,26%,64%,20%,8%,5%,3%
IA,Opinion of Barack Obama as president,2972,Somewhat disapprove,13%,14%,72%,4%,8%,2%
IA,Opinion of Barack Obama as president,2972,Strongly disapprove,34%,1%,96%,1%,0%,2%
IA,Opinion of Barack Obama as president,2972,Approve,52%,80%,11%,5%,3%,1%
IA,Opinion of Barack Obama as president,2972,Disapprove,47%,5%,89%,2%,2%,2%
IA,Should the next president:,2972,Continue Obama's policies,26%,94%,5%,1%
IA,Should the next president:,2972,Be more conservative,53%,10%,86%,4%
IA,Should the next president:,2972,Be more liberal,14%,61%,34%,5%
IA,Opinion of Hillary Clinton,2972,Favorable,41%,96%,0%,1%,2%,1%
IA,Opinion of Hillary Clinton,2972,Unfavorable,57%,8%,81%,5%,3%,3%
IA,Opinion of Donald Trump,2972,Favorable,39%,2%,97%,0%,0%,1%
IA,Opinion of Donald Trump,2972,Unfavorable,59%,73%,15%,6%,4%,2%
IA,Opinion of Clinton and Trump,2972,Both favorable,1%,N/A,N/A,N/A,N/A,N/A
IA,Opinion of Clinton and Trump,2972,Only Clinton favorable,40%,96%,0%,1%,2%,1%
IA,Opinion of Clinton and Trump,2972,Only Trump favorable,38%,1%,99%,0%,0%,N/A
IA,Opinion of Clinton and Trump,2972,Both unfavorable,19%,24%,45%,15%,9%,7%
IA,Is Hillary Clinton honest and trustworthy?,2972,Yes,33%,91%,7%,1%,1%,N/A
IA,Is Hillary Clinton honest and trustworthy?,2972,No,65%,13%,78%,5%,2%,2%
IA,Is Donald Trump honest and trustworthy?,2972,Yes,40%,1%,97%,1%,0%,1%
IA,Is Donald Trump honest and trustworthy?,2972,No,58%,68%,22%,5%,2%,3%
IA,Which candidate is honest?,2972,Both are,2%,N/A,N/A,N/A,N/A,N/A
IA,Which candidate is honest?,2972,Only Clinton is,31%,98%,1%,1%,1%,N/A
IA,Which candidate is honest?,2972,Only Trump is,38%,N/A,98%,1%,0%,1%
IA,Which candidate is honest?,2972,Neither is,26%,32%,47%,10%,4%,7%
IA,Does Clinton have the temperament to be president?,2972,Yes,50%,78%,15%,5%,1%,1%
IA,Does Clinton have the temperament to be president?,2972,No,49%,1%,92%,2%,1%,4%
IA,Does Trump have the temperament to be president?,2972,Yes,43%,0%,98%,0%,1%,1%
IA,Does Trump have the temperament to be president?,2972,No,55%,72%,17%,6%,2%,3%
IA,Which candidate has the right temperament?,2972,Both do,6%,N/A,N/A,N/A,N/A,N/A
IA,Which candidate has the right temperament?,2972,Only Clinton does,44%,89%,4%,5%,0%,2%
IA,Which candidate has the right temperament?,2972,Only Trump does,37%,N/A,99%,0%,N/A,1%
IA,Which candidate has the right temperament?,2972,Neither does,11%,5%,69%,9%,6%,11%
IA,Is Clinton qualified to serve as president?,2972,Yes,48%,88%,7%,5%
IA,Is Clinton qualified to serve as president?,2972,No,51%,5%,85%,10%
IA,Is Trump qualified to serve as president?,2972,Yes,39%,2%,97%,1%,0%,N/A
IA,Is Trump qualified to serve as president?,2972,No,60%,74%,14%,5%,4%,3%
IA,Who is qualified to serve as president?,2972,Both are,4%,N/A,N/A,N/A,N/A,N/A
IA,Who is qualified to serve as president?,2972,Only Clinton is,44%,95%,1%,2%,1%,1%
IA,Who is qualified to serve as president?,2972,Only Trump is,35%,1%,99%,N/A,0%,N/A
IA,Who is qualified to serve as president?,2972,Neither is,16%,15%,53%,13%,13%,6%
IA,Does Clinton's use of private email bother you:,2972,A lot,47%,6%,90%,2%,0%,2%
IA,Does Clinton's use of private email bother you:,2972,Some,15%,57%,36%,6%,N/A,1%
IA,Does Clinton's use of private email bother you:,2972,Not much,14%,77%,17%,5%,1%,N/A
IA,Does Clinton's use of private email bother you:,2972,Not at all,22%,92%,7%,1%,N/A,N/A
IA,Does Clinton's use of private email bother you?,2972,Yes,62%,19%,77%,4%
IA,Does Clinton's use of private email bother you?,2972,No,36%,86%,11%,3%
IA,Does Donald Trump's treatment of women bother you:,2972,A lot,47%,79%,14%,7%
IA,Does Donald Trump's treatment of women bother you:,2972,Some,20%,23%,73%,4%
IA,Does Donald Trump's treatment of women bother you:,2972,Not much,14%,5%,94%,1%
IA,Does Donald Trump's treatment of women bother you:,2972,Not at all,17%,2%,97%,1%
IA,Does Donald Trump's treatment of women bother you?,2972,Yes,68%,62%,32%,6%
IA,Does Donald Trump's treatment of women bother you?,2972,No,32%,4%,96%,N/A
IA,Who would better handle the economy?,2972,Clinton,43%,93%,0%,7%
IA,Who would better handle the economy?,2972,Trump,52%,5%,90%,5%
IA,Who would better handle foreign policy?,2972,Clinton,51%,82%,8%,10%
IA,Who would better handle foreign policy?,2972,Trump,44%,1%,96%,3%
IA,Condition of national economy,2972,Excellent,3%,N/A,N/A,N/A,N/A,N/A
IA,Condition of national economy,2972,Good,33%,70%,24%,2%,2%,2%
IA,Condition of national economy,2972,Not good,40%,29%,63%,5%,2%,1%
IA,Condition of national economy,2972,Poor,23%,10%,84%,1%,0%,5%
IA,Condition of national economy,2972,Good,36%,71%,23%,6%
IA,Condition of national economy,2972,Poor,63%,22%,71%,7%
IA,Financial situation compared to four years ago:,2972,Better today,28%,66%,23%,8%,1%,2%
IA,Financial situation compared to four years ago:,2972,Worse today,27%,11%,82%,1%,4%,2%
IA,Financial situation compared to four years ago:,2972,About the same,44%,50%,44%,2%,3%,1%
IA,U.S. economic system generally:,2972,Favors the wealthy,60%,50%,43%,7%
IA,U.S. economic system generally:,2972,Is fair to most Americans,34%,27%,71%,2%
IA,Life for the next generation of Americans will be:,2972,Better than today,22%,59%,37%,0%,1%,3%
IA,Life for the next generation of Americans will be:,2972,Worse than today,43%,24%,73%,2%,N/A,1%
IA,Life for the next generation of Americans will be:,2972,About the same,31%,56%,38%,5%,0%,1%
IA,Did any campaign contact you?,2972,Only Clinton,13%,88%,11%,1%
IA,Did any campaign contact you?,2972,Only Trump,8%,N/A,N/A,N/A
IA,Did any campaign contact you?,2972,Both,15%,42%,53%,5%
IA,Did any campaign contact you?,2972,Neither,61%,37%,58%,5%
IA,Were you contacted by the Clinton campaign?,2972,Yes,27%,63%,33%,4%
IA,Were you contacted by the Clinton campaign?,2972,No,69%,33%,63%,4%
IA,Were you contacted by the Trump campaign?,2972,Yes,23%,28%,69%,3%
IA,Were you contacted by the Trump campaign?,2972,No,73%,46%,50%,4%
IA,Vote for president in a two-way race,2972,Clinton,45%,96%,1%,3%
IA,Vote for president in a two-way race,2972,Trump,52%,1%,98%,1%
IA,Vote for president in a two-way race,2972,Would not vote,3%,N/A,N/A,N/A
IA,Area type,2972,Urban area,28%,57%,37%,6%
IA,Area type,2972,Suburban area,33%,42%,51%,7%
IA,Area type,2972,Rural area,39%,33%,63%,4%
IA,Region,2972,Eastern Iowa,24%,50%,45%,2%,2%,1%
IA,Region,2972,East Central Iowa,19%,41%,52%,3%,3%,1%
IA,Region,2972,Des Moines Area,24%,51%,40%,6%,2%,1%
IA,Region,2972,Central Iowa,16%,34%,63%,1%,N/A,2%
IA,Region,2972,Western Iowa,16%,28%,67%,2%,0%,3%
