state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
NC,Gender,4297,Male,46%,39%,56%,5%
NC,Gender,4297,Female,54%,53%,45%,2%
NC,Most important issue facing the country,4297,Foreign policy,14%,58%,39%,3%
NC,Most important issue facing the country,4297,Immigration,10%,29%,70%,1%
NC,Most important issue facing the country,4297,Economy,55%,53%,44%,3%
NC,Most important issue facing the country,4297,Terrorism,18%,35%,64%,1%
NC,Which candidate quality mattered most?,4297,Cares about me,17%,57%,40%,3%,N/A
NC,Which candidate quality mattered most?,4297,Can bring change,38%,9%,89%,1%,1%
NC,Which candidate quality mattered most?,4297,Right experience,20%,91%,7%,2%,N/A
NC,Which candidate quality mattered most?,4297,Good judgment,21%,69%,26%,5%,N/A
NC,Illegal immigrants working in the U.S. should be:,4297,Offered legal status,69%,61%,36%,3%,N/A
NC,Illegal immigrants working in the U.S. should be:,4297,Deported to home country,25%,15%,80%,5%,N/A
NC,Do you think immigrants to the U.S. today:,4297,Help the country,58%,69%,28%,3%
NC,Do you think immigrants to the U.S. today:,4297,Hurt the country,29%,14%,85%,1%
NC,Does the country's criminal justice system:,4297,Treat all fairly,41%,23%,73%,4%
NC,Does the country's criminal justice system:,4297,Treat blacks unfairly,47%,74%,22%,4%
NC,How do things work in the U.S. today?,4297,Whites are favored,33%,85%,14%,1%,N/A
NC,How do things work in the U.S. today?,4297,Minorities are favored,25%,8%,91%,1%,N/A
NC,How do things work in the U.S. today?,4297,No group is favored,33%,44%,50%,6%,N/A
NC,Effect of international trade,4297,Creates U.S. jobs,38%,63%,34%,3%,N/A
NC,Effect of international trade,4297,Takes away U.S. jobs,39%,25%,71%,4%,N/A
NC,Effect of international trade,4297,Does not affect jobs,14%,67%,28%,5%,N/A
NC,Feelings about the federal government,4297,Enthusiastic,3%,N/A,N/A,N/A,N/A
NC,Feelings about the federal government,4297,Satisfied,22%,88%,12%,0%,N/A
NC,Feelings about the federal government,4297,Dissatisfied,48%,43%,54%,3%,N/A
NC,Feelings about the federal government,4297,Angry,27%,19%,77%,5%,N/A
NC,Feelings about the federal government,4297,Enthusiastic/Satisfied,25%,88%,12%,N/A
NC,Feelings about the federal government,4297,Dissatisfied/Angry,74%,34%,62%,4%
NC,Opinion of Barack Obama as president,4297,Strongly approve,33%,96%,2%,0%,2%
NC,Opinion of Barack Obama as president,4297,Somewhat approve,18%,70%,22%,8%,N/A
NC,Opinion of Barack Obama as president,4297,Somewhat disapprove,12%,16%,82%,2%,N/A
NC,Opinion of Barack Obama as president,4297,Strongly disapprove,36%,2%,98%,1%,N/A
NC,Opinion of Barack Obama as president,4297,Approve,51%,87%,9%,4%
NC,Opinion of Barack Obama as president,4297,Disapprove,49%,5%,94%,1%
NC,Opinion of Hillary Clinton,4297,Favorable,43%,96%,3%,1%
NC,Opinion of Hillary Clinton,4297,Unfavorable,55%,9%,89%,2%
NC,Opinion of Donald Trump,4297,Favorable,41%,2%,97%,1%
NC,Opinion of Donald Trump,4297,Unfavorable,58%,79%,17%,4%
NC,Opinion of Clinton and Trump,4297,Both favorable,1%,N/A,N/A,N/A,N/A
NC,Opinion of Clinton and Trump,4297,Only Clinton favorable,42%,98%,1%,1%,N/A
NC,Opinion of Clinton and Trump,4297,Only Trump favorable,40%,1%,98%,0%,1%
NC,Opinion of Clinton and Trump,4297,Both unfavorable,15%,28%,63%,9%,N/A
NC,Is Hillary Clinton honest and trustworthy?,4297,Yes,39%,98%,2%,0%
NC,Is Hillary Clinton honest and trustworthy?,4297,No,60%,14%,82%,5%
NC,Is Donald Trump honest and trustworthy?,4297,Yes,41%,6%,94%,0%
NC,Is Donald Trump honest and trustworthy?,4297,No,58%,78%,18%,5%
NC,Which candidate is honest?,4297,Both are,3%,N/A,N/A,N/A
NC,Which candidate is honest?,4297,Only Clinton is,36%,100%,0%,0%
NC,Which candidate is honest?,4297,Only Trump is,38%,1%,99%,0%
NC,Which candidate is honest?,4297,Neither is,21%,38%,49%,13%
NC,Is Clinton qualified to serve as president?,4297,Yes,50%,91%,7%,2%
NC,Is Clinton qualified to serve as president?,4297,No,50%,4%,93%,3%
NC,Is Trump qualified to serve as president?,4297,Yes,44%,2%,96%,2%
NC,Is Trump qualified to serve as president?,4297,No,56%,83%,13%,4%
NC,Who is qualified to serve as president?,4297,Both are,4%,N/A,N/A,N/A,N/A
NC,Who is qualified to serve as president?,4297,Only Clinton is,46%,97%,2%,1%,N/A
NC,Who is qualified to serve as president?,4297,Only Trump is,40%,2%,98%,0%,N/A
NC,Who is qualified to serve as president?,4297,Neither is,10%,15%,70%,13%,2%
NC,Does Clinton have the temperament to be president?,4297,Yes,52%,89%,9%,2%
NC,Does Clinton have the temperament to be president?,4297,No,47%,2%,94%,4%
NC,Does Trump have the temperament to be president?,4297,Yes,41%,3%,95%,2%
NC,Does Trump have the temperament to be president?,4297,No,58%,80%,16%,4%
NC,Which candidate has the right temperament?,4297,Both do,5%,N/A,N/A,N/A,N/A
NC,Which candidate has the right temperament?,4297,Only Clinton does,47%,97%,2%,1%,N/A
NC,Which candidate has the right temperament?,4297,Only Trump does,36%,1%,99%,0%,N/A
NC,Which candidate has the right temperament?,4297,Neither does,11%,5%,78%,17%,N/A
NC,Who would better handle the economy?,4297,Clinton,46%,96%,2%,2%
NC,Who would better handle the economy?,4297,Trump,50%,3%,96%,1%
NC,Who would better handle foreign policy?,4297,Clinton,51%,89%,8%,3%
NC,Who would better handle foreign policy?,4297,Trump,45%,1%,98%,1%
NC,Condition of national economy,4297,Excellent,3%,N/A,N/A,N/A,N/A
NC,Condition of national economy,4297,Good,32%,79%,19%,1%,1%
NC,Condition of national economy,4297,Not good,40%,38%,57%,5%,N/A
NC,Condition of national economy,4297,Poor,24%,16%,83%,1%,N/A
NC,Condition of national economy,4297,Good,35%,80%,19%,1%
NC,Condition of national economy,4297,Poor,64%,29%,67%,4%
NC,Life for the next generation of Americans will be:,4297,Better than today,28%,64%,33%,2%,1%
NC,Life for the next generation of Americans will be:,4297,Worse than today,35%,27%,70%,2%,1%
NC,Life for the next generation of Americans will be:,4297,About the same,30%,57%,36%,7%,N/A
NC,How do you feel about H.B. 2?,4297,Favor,29%,24%,76%,N/A
NC,How do you feel about H.B. 2?,4297,Oppose,65%,59%,38%,3%
NC,Which best describes you?,4297,Moved to N.C. since 2006,11%,47%,48%,5%,N/A
NC,Which best describes you?,4297,Moved to N.C. before 2006,36%,55%,44%,1%,N/A
NC,Which best describes you?,4297,Born in N.C.,52%,44%,55%,1%,N/A
NC,Which better describes you?,4297,Born in North Carolina,52%,44%,55%,1%
NC,Which better describes you?,4297,Moved to North Carolina,47%,53%,45%,2%
NC,Did any campaign contact you?,4297,Only Clinton,13%,91%,8%,1%,N/A
NC,Did any campaign contact you?,4297,Only Trump,9%,8%,92%,1%,N/A
NC,Did any campaign contact you?,4297,Both,13%,41%,47%,12%,N/A
NC,Did any campaign contact you?,4297,Neither,62%,46%,53%,2%,N/A
NC,Were you contacted by the Clinton campaign?,4297,Yes,27%,66%,28%,6%,N/A
NC,Were you contacted by the Clinton campaign?,4297,No,71%,41%,58%,1%,N/A
NC,Were you contacted by the Trump campaign?,4297,Yes,22%,28%,65%,8%,N/A
NC,Were you contacted by the Trump campaign?,4297,No,75%,54%,45%,1%,N/A
NC,Vote for president in a two-way race,4297,Clinton,46%,97%,1%,2%
NC,Vote for president in a two-way race,4297,Trump,50%,1%,98%,1%
NC,Vote for president in a two-way race,4297,Would not vote,3%,N/A,N/A,N/A
NC,Area type,4297,Urban area,37%,61%,35%,4%
NC,Area type,4297,Suburban area,38%,37%,60%,3%
NC,Area type,4297,Rural area,24%,40%,58%,2%
NC,Region,4297,East,24%,45%,51%,4%
NC,Region,4297,Raleigh-Durham,18%,61%,36%,3%
NC,Region,4297,Charlotte Area,18%,51%,46%,3%
NC,Region,4297,Piedmont / Central,21%,44%,53%,3%
NC,Region,4297,West,19%,35%,63%,2%
