state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
ME,Opinion of Donald Trump,2128,Favorable,37%,2%,98%,1%,N/A,N/A
ME,Opinion of Donald Trump,2128,Unfavorable,62%,76%,14%,8%,3%,N/A
ME,Opinion of Clinton and Trump,2128,Both favorable,2%,N/A,N/A,N/A,N/A,N/A
ME,Opinion of Clinton and Trump,2128,Only Clinton favorable,40%,98%,1%,1%,0%,N/A
ME,Opinion of Clinton and Trump,2128,Only Trump favorable,35%,N/A,99%,1%,N/A,N/A
ME,Opinion of Clinton and Trump,2128,Both unfavorable,22%,35%,37%,20%,8%,N/A
ME,Is Hillary Clinton honest and trustworthy?,2128,Yes,30%,97%,2%,1%,0%,N/A
ME,Is Hillary Clinton honest and trustworthy?,2128,No,67%,25%,66%,7%,3%,N/A
ME,Is Donald Trump honest and trustworthy?,2128,Yes,32%,5%,94%,1%,0%,N/A
ME,Is Donald Trump honest and trustworthy?,2128,No,67%,69%,21%,7%,3%,N/A
ME,Which candidate is honest?,2128,Both are,2%,N/A,N/A,N/A,N/A,N/A
ME,Which candidate is honest?,2128,Only Clinton is,28%,99%,1%,0%,0%,N/A
ME,Which candidate is honest?,2128,Only Trump is,31%,1%,98%,1%,0%,N/A
ME,Which candidate is honest?,2128,Neither is,36%,45%,38%,12%,5%,N/A
ME,Is Clinton qualified to serve as president?,2128,Yes,53%,87%,9%,3%,2%,N/A
ME,Is Clinton qualified to serve as president?,2128,No,46%,5%,85%,7%,2%,1%
ME,Is Trump qualified to serve as president?,2128,Yes,37%,4%,95%,1%,0%,N/A
ME,Is Trump qualified to serve as president?,2128,No,61%,76%,14%,8%,3%,N/A
ME,Who is qualified to serve as president?,2128,Both are,6%,N/A,N/A,N/A,N/A,N/A
ME,Who is qualified to serve as president?,2128,Only Clinton is,47%,94%,1%,3%,2%,N/A
ME,Who is qualified to serve as president?,2128,Only Trump is,32%,0%,99%,1%,N/A,N/A
ME,Who is qualified to serve as president?,2128,Neither is,15%,16%,55%,22%,6%,1%
ME,Does Clinton have the temperament to be president?,2128,Yes,53%,84%,10%,4%,1%,1%
ME,Does Clinton have the temperament to be president?,2128,No,46%,6%,85%,6%,3%,N/A
ME,Does Trump have the temperament to be president?,2128,Yes,35%,4%,96%,0%,0%,N/A
ME,Does Trump have the temperament to be president?,2128,No,64%,72%,17%,8%,3%,N/A
ME,Which candidate has the right temperament?,2128,Both do,4%,N/A,N/A,N/A,N/A,N/A
ME,Which candidate has the right temperament?,2128,Only Clinton does,49%,90%,4%,5%,2%,N/A
ME,Which candidate has the right temperament?,2128,Only Trump does,31%,1%,98%,0%,0%,1%
ME,Which candidate has the right temperament?,2128,Neither does,15%,16%,59%,17%,7%,1%
ME,Who would better handle the economy?,2128,Clinton,48%,94%,2%,4%
ME,Who would better handle the economy?,2128,Trump,49%,6%,89%,5%
ME,Who would better handle foreign policy?,2128,Clinton,59%,81%,14%,5%
ME,Who would better handle foreign policy?,2128,Trump,38%,2%,96%,2%
ME,Condition of national economy,2128,Excellent,2%,N/A,N/A,N/A,N/A,N/A
ME,Condition of national economy,2128,Good,36%,74%,20%,5%,1%,N/A
ME,Condition of national economy,2128,Not good,44%,36%,56%,5%,2%,1%
ME,Condition of national economy,2128,Poor,17%,17%,74%,7%,3%,N/A
ME,Condition of national economy,2128,Good,38%,75%,20%,4%,1%,N/A
ME,Condition of national economy,2128,Poor,61%,31%,61%,6%,2%,N/A
ME,Financial situation compared to four years ago:,2128,Better today,32%,60%,34%,4%,2%,N/A
ME,Financial situation compared to four years ago:,2128,Worse today,28%,30%,62%,5%,2%,1%
ME,Financial situation compared to four years ago:,2128,About the same,39%,49%,43%,6%,2%,N/A
ME,Life for the next generation of Americans will be:,2128,Better than today,35%,55%,42%,3%,1%,N/A
ME,Life for the next generation of Americans will be:,2128,Worse than today,33%,33%,57%,7%,3%,N/A
ME,Life for the next generation of Americans will be:,2128,About the same,29%,57%,35%,6%,2%,N/A
ME,Opinion of Paul LePage as governor,2128,Approve,41%,11%,83%,5%,1%,N/A
ME,Opinion of Paul LePage as governor,2128,Disapprove,57%,74%,18%,6%,3%,N/A
ME,Vote for president in a two-way race,2128,Clinton,48%,96%,0%,4%
ME,Vote for president in a two-way race,2128,Trump,44%,2%,97%,1%
ME,Vote for president in a two-way race,2128,Would not vote,6%,N/A,N/A,N/A
ME,Area type,2128,Urban area,6%,82%,10%,6%,3%,N/A
ME,Area type,2128,Suburban area,51%,46%,48%,4%,1%,1%
ME,Area type,2128,Rural area,43%,45%,47%,6%,2%,N/A
